row,study_author,pmid,year,age,older_women,ui_type,followup,n1,n2,N1,N2,granular_trt_code1,granular_trt_code2,coarse_trt_code1,coarse_trt_code2,trt_description1,trt_description2,outcome,combined,randomization_sequence,blinding_of_patients,blinding_of_assessors,intention_to_treat,attrition_bias,selection_bias,interventions_described,intervention_compliance,other_issues,allocation_concealment,to_flip,or_string,counts_string,coarse_comparison_string,granular_comparison_string
90,Arvonen,11574936,2001,48,0,sui,4,11,7,19,18,T4,T4+T9,T,T,pfmt,pfmt & weights,improvement,Arvonen 2001 11574936,Unclear,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"2.16 (0.58, 8.04)",11/19 vs 7/18,H vs H,H4 vs H4+H9
91,Arvonen,11574936,2001,48,0,sui,4,5,9,19,18,T4,T4+T9,T,T,pfmt,pfmt & weights,cure,Arvonen 2001 11574936,Unclear,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.36 (0.09, 1.42)",5/19 vs 9/18,H vs H,H4 vs H4+H9
92,Subak,12100806,2002,69.3,1,0,NA,39,11,77,75,T4,P1,T,P,pfmt,control,improvement,Subak 2002 12100806,Low,Unclear,High,High,Low,Low,yes,Low,,Low,0,"5.97 (2.74, 13.03)",39/77 vs 11/75,H vs K,H4 vs K1
93,Norton,12114886,2002,51,0,sui,NA,123,132,140,138,A1,P1,A,P,duloxetine,control,cure,Norton 2002 12114886,Low,Low,Low,Low,Low,Low,yes,High,,Low,0,"0.33 (0.13, 0.86)",123/140 vs 132/138,D vs K,D1 vs K1
94,Morkved,12383542,2002,46.4,0,sui,NA,21,28,46,48,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Morkved 2002 12383542,Low,High,Low,Low,Low,Low,yes,Low,,Low,0,"0.60 (0.27, 1.36)",21/46 vs 28/48,H vs H,H4 vs H4+H6
95,Burgio,12425706,2002,65.4,1,uui,2,15,11,74,75,T4,T4,T,T,pfmt,pfmt,cure,Burgio 2002 12425706,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"1.48 (0.63, 3.48)",15/74 vs 11/75,H vs H,H4 vs H4
96,Burgio,12425706,2002,65.4,1,uui,2,11,15,75,73,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Burgio 2002 12425706,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.66 (0.28, 1.56)",11/75 vs 15/73,H vs H,H4 vs H4+H6
97,Burgio,12425706,2002,65.4,1,uui,2,15,15,74,73,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Burgio 2002 12425706,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.98 (0.44, 2.19)",15/74 vs 15/73,H vs H,H4 vs H4+H6
98,Burgio,12425706,2002,65.4,1,uui,2,36,20,74,75,T4,T4,T,T,pfmt,pfmt,improvement,Burgio 2002 12425706,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"2.61 (1.31, 5.17)",36/74 vs 20/75,H vs H,H4 vs H4
99,Burgio,12425706,2002,65.4,1,uui,2,20,33,75,73,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Burgio 2002 12425706,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.44 (0.22, 0.88)",20/75 vs 33/73,H vs H,H4 vs H4+H6
100,Burgio,12425706,2002,65.4,1,uui,2,36,33,74,73,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Burgio 2002 12425706,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"1.15 (0.60, 2.20)",36/74 vs 33/73,H vs H,H4 vs H4+H6
101,But,12639647,2003,55.8,0,0,NA,7,1,30,22,N3,P1,N,P,magnetic stimulation,control,improvement,But 2003 12639647,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"6.39 (0.72, 56.38)",7/30 vs 1/22,G vs K,G3 vs K1
102,But,12639647,2003,55.8,0,0,NA,12,0,30,22,N3,P1,N,P,magnetic stimulation,control,cure,But 2003 12639647,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"30.41 (1.69, 548.66)",12/30 vs 0/22,G vs K,G3 vs K1
103,Alewijnse,12808702,2003,55.6,0,0,NA,21,17,51,52,T1+T4,T4,T,T,bladder training & pfmt,pfmt,cure,Alewijnse 2003 12808702,Unclear,Unclear,High,Low,Low,High,yes,Low,,Unclear,0,"1.44 (0.64, 3.22)",21/51 vs 17/52,H vs H,H1+H4 vs H4
104,Moore,12842055,2003,60,0,0,3,37,27,74,71,T1,T1+T4,T,T,bladder training,bladder training & pfmt,cure,Moore 2003 12842055,Low,Low,Low,Low,High,Low,yes,Low,,Low,0,"1.63 (0.84, 3.16)",37/74 vs 27/71,H vs H,H1 vs H1+H4
105,Goode,12865375,2003,56.2,0,0,NA,10,11,67,66,T2,T4+T6,T,T,education,pfmt & biofeedback,cure,Goode 2003 12865375,Low,Unclear,Unclear,Low,High,Low,yes,Unclear,,Unclear,0,"0.88 (0.34, 2.23)",10/67 vs 11/66,H vs H,H2 vs H4+H6
106,Goode,12865375,2003,56.2,0,0,NA,10,10,67,67,N4+T4+T6,T2,N+T,T,tens & pfmt & biofeedback,education,cure,Goode 2003 12865375,Low,Unclear,Unclear,Low,High,Low,yes,Unclear,,Unclear,0,"1.00 (0.39, 2.59)",10/67 vs 10/67,G+H vs H,G4+H4+H6 vs H2
107,Goode,12865375,2003,56.2,0,0,NA,10,11,67,66,N4+T4+T6,T4+T6,N+T,T,tens & pfmt & biofeedback,pfmt & biofeedback,cure,Goode 2003 12865375,Low,Unclear,Unclear,Low,High,Low,yes,Unclear,,Unclear,0,"0.88 (0.34, 2.23)",10/67 vs 11/66,G+H vs H,G4+H4+H6 vs H4+H6
108,Goode,12865375,2003,56.2,0,0,NA,38,53,67,66,T2,T4+T6,T,T,education,pfmt & biofeedback,improvement,Goode 2003 12865375,Low,Unclear,Unclear,Low,High,Low,yes,Unclear,,Unclear,0,"0.32 (0.15, 0.70)",38/67 vs 53/66,H vs H,H2 vs H4+H6
109,Goode,12865375,2003,56.2,0,0,NA,58,38,67,67,N4+T4+T6,T2,N+T,T,tens & pfmt & biofeedback,education,improvement,Goode 2003 12865375,Low,Unclear,Unclear,Low,High,Low,yes,Unclear,,Unclear,0,"4.92 (2.10, 11.53)",58/67 vs 38/67,G+H vs H,G4+H4+H6 vs H2
110,Goode,12865375,2003,56.2,0,0,NA,58,53,67,66,N4+T4+T6,T4+T6,N+T,T,tens & pfmt & biofeedback,pfmt & biofeedback,improvement,Goode 2003 12865375,Low,Unclear,Unclear,Low,High,Low,yes,Unclear,,Unclear,0,"1.58 (0.62, 4.00)",58/67 vs 53/66,G+H vs H,G4+H4+H6 vs H4+H6
111,Aksac,12867764,2003,NA,0,sui,2,16,0,20,10,T4+T6,P1,T,P,pfmt & biofeedback,control,cure,Aksac 2003 12867764,Adequate,Unclear,,,,,,,,Not adequate,0,"77.00 (3.75, 1581.71)",16/20 vs 0/10,H vs K,H4+H6 vs K1
112,Aksac,12867764,2003,NA,0,sui,2,15,0,20,10,T4,P1,T,P,pfmt,control,cure,Aksac 2003 12867764,Adequate,Unclear,,,,,,,,Not adequate,0,"59.18 (2.95, 1187.72)",15/20 vs 0/10,H vs K,H4 vs K1
113,Aksac,12867764,2003,NA,0,sui,2,15,16,20,20,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Aksac 2003 12867764,Adequate,Unclear,,,,,,,,Not adequate,0,"0.75 (0.17, 3.33)",15/20 vs 16/20,H vs H,H4 vs H4+H6
114,Aksac,12867764,2003,NA,0,sui,2,4,2,20,10,T4+T6,P1,T,P,pfmt & biofeedback,control,improvement,Aksac 2003 12867764,Adequate,Unclear,,,,,,,,Not adequate,0,"1.00 (0.15, 6.67)",4/20 vs 2/10,H vs K,H4+H6 vs K1
115,Aksac,12867764,2003,NA,0,sui,2,5,2,20,10,T4,P1,T,P,pfmt,control,improvement,Aksac 2003 12867764,Adequate,Unclear,,,,,,,,Not adequate,0,"1.33 (0.21, 8.49)",5/20 vs 2/10,H vs K,H4 vs K1
116,Aksac,12867764,2003,NA,0,sui,2,5,4,20,20,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Aksac 2003 12867764,Adequate,Unclear,,,,,,,,Not adequate,0,"1.33 (0.30, 5.93)",5/20 vs 4/20,H vs H,H4 vs H4+H6
117,Diokno,12934777,2003,60,1,0,NA,90,67,391,399,C1,C3,C,C,oxybutynin,tolterodine,cure,Diokno 2003 12934777,Unclear,Low,Low,Low,Low,Low,yes,Low,,Unclear,0,"1.48 (1.04, 2.11)",90/391 vs 67/399,A vs A,A1 vs A3
118,Lagro-Janssen,1459383,1992,43.4,0,0,NA,40,2,54,56,T1+T4,P1,T,P,bladder training & pfmt,control,improvement,Lagro-Janssen 1992 1459383,Unclear,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"77.14 (16.59, 358.75)",40/54 vs 2/56,H vs K,H1+H4 vs K1
119,Lagro-Janssen,1459383,1992,43.4,0,0,NA,10,1,54,56,T1+T4,P1,T,P,bladder training & pfmt,control,cure,Lagro-Janssen 1992 1459383,Unclear,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"12.50 (1.54, 101.42)",10/54 vs 1/56,H vs K,H1+H4 vs K1
120,Spruijt,14616279,2003,NA,1,0,NA,7,4,25,12,N4,T4,N,T,tens,pfmt,improvement,Spruijt 2003 14616279,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.78 (0.18, 3.43)",7/25 vs 4/12,G vs H,G4 vs H4
121,Wang,14751349,2004,52.7,0,uui,NA,12,15,40,38,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Wang 2004 14751349,Low,Unclear,Low,Low,Low,Low,yes,Low,,Low,0,"0.66 (0.26, 1.68)",12/40 vs 15/38,H vs H,H4 vs H4+H6
122,Wang,14751349,2004,52.7,0,uui,NA,17,12,42,40,N4,T4,N,T,tens,pfmt,cure,Wang 2004 14751349,Low,Unclear,Low,Low,Low,Low,yes,Low,,Low,0,"1.59 (0.64, 3.96)",17/42 vs 12/40,G vs H,G4 vs H4
123,Wang,14751349,2004,52.7,0,uui,NA,17,15,42,38,N4,T4+T6,N,T,tens,pfmt & biofeedback,cure,Wang 2004 14751349,Low,Unclear,Low,Low,Low,Low,yes,Low,,Low,0,"1.04 (0.43, 2.55)",17/42 vs 15/38,G vs H,G4 vs H4+H6
124,Millard,14764128,2004,53,0,sui,NA,16,14,227,231,A1,P1,A,P,duloxetine,control,cure,Millard 2004 14764128,Low,Low,Low,Low,High,High,yes,High,,Low,0,"1.18 (0.56, 2.47)",16/227 vs 14/231,D vs K,D1 vs K1
125,Millard,14764128,2004,53,0,sui,NA,167,148,227,231,A1,P1,A,P,duloxetine,control,improvement,Millard 2004 14764128,Low,Low,Low,Low,High,High,yes,High,,Low,0,"1.56 (1.05, 2.33)",167/227 vs 148/231,D vs K,D1 vs K1
126,Diokno,14767293,2004,NA,1,0,NA,61,55,164,195,T1+T4,P1,T,P,bladder training & pfmt,control,cure,Diokno 2004 14767293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1.51 (0.97, 2.35)",61/164 vs 55/195,H vs K,H1+H4 vs K1
127,Diokno,14767293,2004,NA,1,0,NA,92,80,164,195,T1+T4,P1,T,P,bladder training & pfmt,control,improvement,Diokno 2004 14767293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1.84 (1.21, 2.80)",92/164 vs 80/195,H vs K,H1+H4 vs K1
128,Kerrebroeck,14961887,2004,53,0,sui,NA,93,76,179,226,A1,P1,A,P,duloxetine,control,improvement,Kerrebroeck 2004 14961887,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"2.13 (1.43, 3.19)",93/179 vs 76/226,D vs K,D1 vs K1
129,Khullar,15302476,2004,58.2,0,0,NA,318,116,521,253,C3,P1,C,P,tolterodine,control,improvement,Khullar 2004 15302476,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"1.85 (1.37, 2.51)",318/521 vs 116/253,A vs K,A3 vs K1
130,Khullar,15302476,2004,58.2,0,0,NA,396,139,521,253,C3,P1,C,P,tolterodine,control,satisfaction,Khullar 2004 15302476,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"2.60 (1.89, 3.57)",396/521 vs 139/253,A vs K,A3 vs K1
131,Cardozo,15339761,2004,53,0,sui,NA,17,4,55,54,A1,P1,A,P,duloxetine,control,improvement,Cardozo 2004 15339761,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"5.59 (1.74, 17.98)",17/55 vs 4/54,D vs K,D1 vs K1
132,Bano,15378234,2005,61,0,sui,6,9,15,25,25,U5,U6,U,U,macroplastique,permacol,cure,Bano 2005 15378234,Unclear,Unclear,Unclear,Low,Low,Unclear,yes,Low,,Unclear,0,"0.38 (0.12, 1.18)",9/25 vs 15/25,I vs I,I5 vs I6
133,Amaro,15647885,2005,NA,0,0,NA,3,6,20,20,N4,P1,N,P,tens,control,ui,Amaro 2005 15647885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"0.41 (0.09, 1.95)",3/20 vs 6/20,G vs K,G4 vs K1
134,Kinchen,15662490,2005,53,0,sui,3,98,94,140,186,A1,P1,A,P,duloxetine,control,improvement,Kinchen 2005 15662490,Low,Low,Low,Low,High,Low,yes,Low,,Unclear,0,"2.28 (1.44, 3.62)",98/140 vs 94/186,D vs K,D1 vs K1
135,But,15821527,2005,54,0,0,NA,11,3,26,13,N3,P1,N,P,magnetic stimulation,control,improvement,But 2005 15821527,Low,Low,Low,Low,Low,High,yes,Low,,Low,0,"2.44 (0.54, 11.03)",11/26 vs 3/13,G vs K,G3 vs K1
136,Subak,15947625,2005,52,0,0,NA,14,4,24,24,T2,P1,T,P,education,control,improvement,Subak 2005 15947625,Low,High,Low,Low,Low,Low,yes,Low,,Low,0,"7.00 (1.82, 26.89)",14/24 vs 4/24,H vs K,H2 vs K1
137,Waetjen,16260511,2005,NA,0,0,24,52,74,208,209,H4,P1,H,P,transdermal estrogen,control,improvement,Waetjen 2005 16260511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"0.61 (0.40, 0.93)",52/208 vs 74/209,C vs K,C4 vs K1
138,Long,16412747,2006,55.3,0,0,3,12,3,36,37,H1,H2,H,H,vaginal estrogen,po estrogen,ui,Long 2006 16412747,Unclear,Open-label,,,,,,,,Unclear,0,"5.67 (1.44, 22.27)",12/36 vs 3/37,C vs C,C1 vs C2
139,Yalcin,16750246,2006,51.1,0,sui,NA,198,152,433,425,A1,P1,A,P,duloxetine,control,improvement,Yalcin 2006 16750246,Low,Low,Low,Low,Low,Low,yes,Low,,Unclear,0,"1.51 (1.15, 1.99)",198/433 vs 152/425,D vs K,D1 vs K1
140,Amaro,16752244,2006,48,0,0,NA,17,14,20,20,N4,P1,N,P,tens,control,improvement,Amaro 2006 16752244,Low,Low,Low,Unclear,Low,Unclear,yes,Low,,Unclear,0,"2.43 (0.51, 11.51)",17/20 vs 14/20,G vs K,G4 vs K1
141,Amaro,16752244,2006,48,0,0,NA,3,6,20,20,N4,P1,N,P,tens,control,ui,Amaro 2006 16752244,Low,Low,Low,Unclear,Low,Unclear,yes,Low,,Unclear,0,"0.41 (0.09, 1.95)",3/20 vs 6/20,G vs K,G4 vs K1
142,Williams,17034605,2006,56.9,0,0,NA,4,6,80,79,T4,P1,T,P,pfmt,control,cure,Williams 2006 17034605,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Low,0,"0.64 (0.17, 2.36)",4/80 vs 6/79,H vs K,H4 vs K1
143,Andersen,17051030,2002,NA,0,sui,NA,3,10,21,25,U2,U4,U,U,contigen,durasphere,cure,Andersen 2002 17051030,Unclear,Low,Low,Low,Low,Unclear,yes,Low,,Unclear,0,"0.25 (0.06, 1.08)",3/21 vs 10/25,I vs I,I2 vs I4
144,Andersen,17051030,2002,NA,0,sui,NA,13,20,21,25,U2,U4,U,U,contigen,durasphere,improvement,Andersen 2002 17051030,Unclear,Low,Low,Low,Low,Unclear,yes,Low,,Unclear,0,"0.41 (0.11, 1.52)",13/21 vs 20/25,I vs I,I2 vs I4
145,Steers,17511767,2007,54.6,0,0,NA,5,1,153,153,A1,P1,A,P,duloxetine,control,improvement,Steers 2007 17511767,Low,Low,Low,Low,High,Low,yes,Low,,Unclear,0,"5.14 (0.59, 44.48)",5/153 vs 1/153,D vs K,D1 vs K1
146,Bent,17580357,2008,53.7,0,0,NA,103,74,234,272,A1,P1,A,P,duloxetine,control,improvement,Bent 2008 17580357,Low,Low,High,Low,High,Low,yes,Low,,Unclear,0,"2.10 (1.45, 3.05)",103/234 vs 74/272,D vs K,D1 vs K1
147,Kim,17944890,2007,76.6,1,0,NA,18,3,33,32,T4,P1,T,P,pfmt,control,cure,Kim 2007 17944890,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"11.60 (2.94, 45.74)",18/33 vs 3/32,H vs K,H4 vs K1
148,Lagro-Janssen,1807303,1991,45,0,sui,3,7,1,33,33,T4,P1,T,P,pfmt,control,cure,Lagro-Janssen 1991 1807303,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"8.62 (1.00, 74.57)",7/33 vs 1/33,H vs K,H4 vs K1
149,Lin,18221532,2008,54.4,0,sui,NA,42,28,60,61,A1,P1,A,P,duloxetine,control,improvement,Lin 2008 18221532,Low,Low,Low,Low,High,High,yes,High,,Low,0,"2.75 (1.30, 5.81)",42/60 vs 28/61,D vs K,D1 vs K1
150,Brubaker,18499184,2008,0,0,0,NA,18,0,28,15,B1,P1,B,P,botox,control,improvement,Brubaker 2008 18499184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"54.62 (2.96, 1008.87)",18/28 vs 0/15,B vs K,B1 vs K1
151,Schagen van Leeuwena,18547757,2008,71,1,0,NA,18,14,131,134,A1,P1,A,P,duloxetine,control,improvement,Schagen van Leeuwena 2008 18547757,Low,Low,Low,Low,Low,Low,yes,Low,,Unclear,0,"1.37 (0.65, 2.87)",18/131 vs 14/134,D vs K,D1 vs K1
152,Burgio,18678843,2008,56.9,0,uui,NA,31,51,153,154,C3,C3+T1+T4,C,C+T,tolterodine,tolterodine & pfmt & bladder training,satisfaction,Burgio 2008 18678843,Low,High,High,Low,Low,Low,yes,High,,Low,0,"0.51 (0.31, 0.86)",31/153 vs 51/154,A vs A+H,A3 vs A3+H1+H4
153,Burgio,18678843,2008,56.9,0,uui,NA,66,106,153,154,C3,C3+T1+T4,C,C+T,tolterodine,tolterodine & pfmt & bladder training,improvement,Burgio 2008 18678843,Low,High,High,Low,Low,Low,yes,High,,Low,0,"0.34 (0.22, 0.55)",66/153 vs 106/154,A vs A+H,A3 vs A3+H1+H4
154,Burgio,18678843,2008,56.9,0,uui,NA,26,32,153,154,C3,C3+T1+T4,C,C+T,tolterodine,tolterodine & pfmt & bladder training,cure,Burgio 2008 18678843,Low,High,High,Low,Low,Low,yes,High,,Low,0,"0.78 (0.44, 1.39)",26/153 vs 32/154,A vs A+H,A3 vs A3+H1+H4
155,Rogers,18685795,2008,48,0,uui,NA,115,89,202,211,C3,P1,C,P,tolterodine,control,cure,Rogers 2008 18685795,Low,Double-blind,Low,Low,Low,Low,yes,Low,,Unclear,0,"1.81 (1.23, 2.68)",115/202 vs 89/211,A vs K,A3 vs K1
156,Castro,18719756,2008,54.2,0,sui,NA,13,12,30,31,N4,T4,N,T,tens,pfmt,cure,Castro 2008 18719756,Low,High,Low,High,Low,Low,yes,Low,,Unclear,0,"1.21 (0.44, 3.36)",13/30 vs 12/31,G vs H,G4 vs H4
157,Castro,18719756,2008,54.2,0,sui,NA,12,3,31,30,T4,P1,T,P,pfmt,control,cure,Castro 2008 18719756,Low,High,Low,High,Low,Low,yes,Low,,Unclear,0,"5.68 (1.41, 22.93)",12/31 vs 3/30,H vs K,H4 vs K1
158,Castro,18719756,2008,54.2,0,sui,NA,13,3,30,30,N4,P1,N,P,tens,control,cure,Castro 2008 18719756,Low,High,Low,High,Low,Low,yes,Low,,Unclear,0,"6.88 (1.71, 27.75)",13/30 vs 3/30,G vs K,G4 vs K1
159,Castro,18719756,2008,54.2,0,sui,NA,15,15,30,31,N4,T4,N,T,tens,pfmt,satisfaction,Castro 2008 18719756,Low,High,Low,High,Low,Low,yes,Low,,Unclear,0,"1.07 (0.39, 2.91)",15/30 vs 15/31,G vs H,G4 vs H4
160,Castro,18719756,2008,54.2,0,sui,NA,15,5,31,30,T4,P1,T,P,pfmt,control,satisfaction,Castro 2008 18719756,Low,High,Low,High,Low,Low,yes,Low,,Unclear,0,"4.69 (1.42, 15.42)",15/31 vs 5/30,H vs K,H4 vs K1
161,Castro,18719756,2008,54.2,0,sui,NA,15,5,30,30,N4,P1,N,P,tens,control,satisfaction,Castro 2008 18719756,Low,High,Low,High,Low,Low,yes,Low,,Unclear,0,"5.00 (1.51, 16.56)",15/30 vs 5/30,G vs K,G4 vs K1
162,Kumari,18755458,2008,44.7,0,0,NA,41,11,78,86,T1+T4,P1,T,P,bladder training & pfmt,control,ui,Kumari 2008 18755458,Low,High,High,High,High,Low,yes,Unclear,,Low,0,"7.56 (3.49, 16.37)",41/78 vs 11/86,H vs K,H1+H4 vs K1
163,Ghoniem,19013613,2009,61,0,sui,NA,34,25,102,94,U5,P1,U,P,macroplastique,control,cure,Ghoniem 2009 19013613,Low,Low,Low,Low,High,Low,yes,Low,,Low,0,"1.38 (0.75, 2.55)",34/102 vs 25/94,I vs K,I5 vs K1
164,Ghoniem,19013613,2009,61,0,sui,NA,75,60,122,125,U5,P1,U,P,macroplastique,control,improvement,Ghoniem 2009 19013613,Low,Low,Low,Low,High,Low,yes,Low,,Low,0,"1.73 (1.04, 2.87)",75/122 vs 60/125,I vs K,I5 vs K1
165,Rogers,19601704,2009,48,0,0,NA,143,101,202,211,C3,P1,C,P,tolterodine,control,satisfaction,Rogers 2009 19601704,Unclear,Low,Low,Low,Unclear,Low,yes,Unclear,,Unclear,0,"2.64 (1.76, 3.96)",143/202 vs 101/211,A vs K,A3 vs K1
166,Peters,19616802,2009,58,0,uui,NA,23,35,42,44,C3,N1,C,N,tolterodine,electroacupuncture,cure,Peters 2009 19616802,Low,Open-label,Low,Unclear,Low,Low,yes,Low,,Unclear,0,"0.31 (0.12, 0.81)",23/42 vs 35/44,A vs G,A3 vs G1
167,Peters,19616802,2009,58,0,uui,NA,21,34,42,44,C3,N1,C,N,tolterodine,electroacupuncture,improvement,Peters 2009 19616802,Low,Open-label,Low,Unclear,Low,Low,yes,Low,,Unclear,0,"0.29 (0.12, 0.74)",21/42 vs 34/44,A vs G,A3 vs G1
168,Peters,19616802,2009,58,0,uui,NA,27,24,37,30,C3,N1,C,N,tolterodine,electroacupuncture,ui,Peters 2009 19616802,Low,Open-label,Low,Unclear,Low,Low,yes,Low,,Unclear,0,"0.68 (0.21, 2.14)",27/37 vs 24/30,A vs G,A3 vs G1
169,Lightner,19660800,2009,56.1,0,sui,NA,74,93,88,143,U2,U7,U,U,contigen,zuidex,improvement,Lightner 2009 19660800,Unclear,Unclear,Unclear,Low,High,Low,yes,High,,Unclear,0,"2.84 (1.46, 5.54)",74/88 vs 93/143,I vs I,I2 vs I7
170,Sand,19727537,2009,58,0,0,NA,163,103,484,505,C4,P1,C,P,trospium,control,cure,Sand 2009 19727537,Low,Low,Low,Low,Low,Low,yes,Low,,Unclear,0,"1.98 (1.49, 2.64)",163/484 vs 103/505,A vs K,A4 vs K1
171,Lamb,19751517,2009,51.3,0,0,NA,66,47,111,63,T1+T4,T5+T4,T,T,bladder training & pfmt,bladder support & pfmt,improvement,Lamb 2009 19751517,Low,Unclear,Low,Low,Low,Low,yes,Low,,High,0,"0.50 (0.25, 0.99)",66/111 vs 47/63,H vs H,H1+H4 vs H5+H4
172,Fantl,1987410,1991,67,0,0,1.5,49,16,65,66,T1,P1,T,P,bladder training,control,improvement,Fantl 1991 1987410,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"9.57 (4.31, 21.24)",49/65 vs 16/66,H vs K,H1 vs K1
173,Fantl,1987410,1991,67,0,0,1.5,8,2,65,66,T1,P1,T,P,bladder training,control,cure,Fantl 1991 1987410,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"4.49 (0.92, 22.03)",8/65 vs 2/66,H vs K,H1 vs K1
174,Cardozo,19929591,2010,55,0,sui,NA,876,669,1378,1380,A1,P1,A,P,duloxetine,control,improvement,Cardozo 2010 19929591,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"1.85 (1.59, 2.16)",876/1378 vs 669/1380,D vs K,D1 vs K1
175,Thüroff,2005707,1991,50,0,uui,NA,35,20,126,104,C1,P1,C,P,oxybutynin,control,improvement,Thüroff 1991 2005707,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"1.62 (0.87, 3.02)",35/126 vs 20/104,A vs K,A1 vs K1
176,Richter,20177294,2010,49.8,0,0,NA,54,52,146,151,T4,T5+T4,T,T,pfmt,bladder support & pfmt,improvement,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.12 (0.69, 1.80)",54/146 vs 52/151,H vs H,H4 vs H5+H4
177,Richter,20177294,2010,49.8,0,0,NA,51,52,149,151,T5,T5+T4,T,T,bladder support,bladder support & pfmt,improvement,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"0.99 (0.62, 1.60)",51/149 vs 52/151,H vs H,H5 vs H5+H4
178,Richter,20177294,2010,49.8,0,0,NA,54,51,146,149,T4,T5,T,T,pfmt,bladder support,improvement,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.13 (0.70, 1.82)",54/146 vs 51/149,H vs H,H4 vs H5
179,Richter,20177294,2010,49.8,0,0,NA,59,49,146,151,T4,T5+T4,T,T,pfmt,bladder support & pfmt,cure,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.41 (0.88, 2.27)",59/146 vs 49/151,H vs H,H4 vs H5+H4
180,Richter,20177294,2010,49.8,0,0,NA,52,49,149,151,T5,T5+T4,T,T,bladder support,bladder support & pfmt,cure,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.12 (0.69, 1.80)",52/149 vs 49/151,H vs H,H5 vs H5+H4
181,Richter,20177294,2010,49.8,0,0,NA,59,52,146,149,T4,T5,T,T,pfmt,bladder support,cure,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.26 (0.79, 2.03)",59/146 vs 52/149,H vs H,H4 vs H5
182,Richter,20177294,2010,49.8,0,0,NA,79,81,146,151,T4,T5+T4,T,T,pfmt,bladder support & pfmt,satisfaction,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.02 (0.65, 1.61)",79/146 vs 81/151,H vs H,H4 vs H5+H4
183,Richter,20177294,2010,49.8,0,0,NA,75,81,149,151,T5,T5+T4,T,T,bladder support,bladder support & pfmt,satisfaction,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"0.88 (0.56, 1.38)",75/149 vs 81/151,H vs H,H5 vs H5+H4
